Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
NRP1-HS578T-shNRP1.3-RNA.1_R1	64365373	43848638	64365373	9654805950	4287325	8588789627	11.041302419962154
NRP1-HS578T-shNRP1.3-RNA.1_R2	64365373	43818100	64365373	9654805950	32245388	8573732476	11.197257403189962
NRP1-HS578T-shNRP1.3-RNA.2_R1	55595805	38042124	55595805	8339370750	4205794	7438807796	10.798931729950969
NRP1-HS578T-shNRP1.3-RNA.2_R2	55595805	37816224	55595805	8339370750	27667472	7425616052	10.95711805354139
NRP1-HS578T-shNRP1.5-RNA.1_R1	58968365	38814481	58968365	8845254750	4777998	8011119740	9.430310755040718
NRP1-HS578T-shNRP1.5-RNA.1_R2	58968365	38780963	58968365	8845254750	29350330	7994403028	9.619301490440398
NRP1-HS578T-shNRP1.5-RNA.2_R1	61714839	40519057	61714839	9257225850	5975498	8419141287	9.05330145963761
NRP1-HS578T-shNRP1.5-RNA.2_R2	61714839	40347002	61714839	9257225850	31556144	8401084183	9.248361019516446
NRP1-HS578T-shNRP1.5-RNA.3_R1	93314329	58618338	93314329	13997149350	11871533	12818429914	8.42113923718332
NRP1-HS578T-shNRP1.5-RNA.3_R2	93314329	58662995	93314329	13997149350	42840438	12794755294	8.590278105448663
NRP1-HS578T-shNT-RNA.1_R1	74752923	49696017	74752923	11212938450	5740691	10016473777	10.670393655821771
NRP1-HS578T-shNT-RNA.1_R2	74752923	49796148	74752923	11212938450	35987922	9998873258	10.827359816641104
NRP1-HS578T-shNT-RNA.2_R1	43378585	30055122	43378585	6506787750	22889840	5671660723	12.834705219945125
NRP1-HS578T-shNT-RNA.2_R2	43378585	30506556	43378585	6506787750	16208529	5666477302	12.914366970092118
NRP1-HS578T-shNT-RNA.3_R1	54665552	39057392	54665552	8199832800	8148245	7106397539	13.334848254466847
NRP1-HS578T-shNT-RNA.3_R2	54665552	38820936	54665552	8199832800	71037877	7060996368	13.888532361294
NRP1-HS578T-siNRP1.3-RNA.1_R1	33079058	22896736	33079058	4961858700	22360285	4393345120	11.457673714086216
NRP1-HS578T-siNRP1.3-RNA.1_R2	33079058	23263422	33079058	4961858700	11772111	4392547053	11.473757747273213
NRP1-HS578T-siNRP1.3-RNA.2_R1	54307541	37597348	54307541	8146131150	3694263	7242227897	11.096104842358203
NRP1-HS578T-siNRP1.3-RNA.2_R2	54307541	37405940	54307541	8146131150	23714384	7232047465	11.221077443615671
NRP1-HS578T-siNRP1.3-RNA.3_R1	43993003	33928605	43993003	6598950450	8125145	5647374030	14.420117671894323
NRP1-HS578T-siNRP1.3-RNA.3_R2	43993003	33715366	43993003	6598950450	16651513	5642474158	14.494369964544893
NRP1-HS578T-siNRP1.5-RNA.1_R1	42279683	28114147	42279683	6341952450	12339267	5719466325	9.8153704227158
NRP1-HS578T-siNRP1.5-RNA.1_R2	42279683	28287879	42279683	6341952450	18249866	5711434141	9.942022018786975
NRP1-HS578T-siNRP1.5-RNA.2_R1	55278586	37175840	55278586	8291787900	3455609	7384780027	10.938628483249072
NRP1-HS578T-siNRP1.5-RNA.2_R2	55278586	36950041	55278586	8291787900	27597209	7372520252	11.08648290436855
NRP1-HS578T-siNRP1.5-RNA.3_R1	69187183	46240189	69187183	10378077450	4455755	9262982599	10.744715062807707
NRP1-HS578T-siNRP1.5-RNA.3_R2	69187183	46483663	69187183	10378077450	27192876	9249127671	10.878216937955113
NRP1-HS578T-siNT-RNA.1_R1	38250586	24866365	38250586	5737587900	3408140	5198027900	9.403951789566484
NRP1-HS578T-siNT-RNA.1_R2	38250586	24888535	38250586	5737587900	18123320	5189263349	9.556708508117149
NRP1-HS578T-siNT-RNA.2_R1	53672494	35533197	53672494	8050874100	4649756	7269368038	9.707095804665483
NRP1-HS578T-siNT-RNA.2_R2	53672494	35550666	53672494	8050874100	44691591	7243044979	10.034054823935206
