Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
NRP1-HS578T-shNRP1.3-RNA.1	62212120.0	250.0	58005967.0	93.24	249.3	65598183.0	65597945.0	65095108.0	436926.0	48475.0	17674.0	0.42	0.0	1.08	0.0	1.72	3330724.0	5.35	2031.0	0.0	0.22	1.15	0.03	137248	717434	18716
NRP1-HS578T-shNRP1.3-RNA.2	54005503.0	250.0	50877103.0	94.21	249.15	56424956.0	56424730.0	55996821.0	369628.0	43708.0	14799.0	0.43	0.0	1.07	0.0	1.7	2270820.0	4.2	2239.0	0.0	0.23	1.34	0.02	123729	720853	10759
NRP1-HS578T-shNRP1.5-RNA.1	57753759.0	253.0	54091286.0	93.66	252.42	60901910.0	60901717.0	60450272.0	393037.0	40884.0	17717.0	0.44	0.0	1.08	0.0	1.76	2749915.0	4.76	1811.0	0.0	0.23	1.31	0.03	133422	759923	17403
NRP1-HS578T-shNRP1.5-RNA.2	60503428.0	254.0	57092947.0	94.36	253.32	62932949.0	62932711.0	62460743.0	408553.0	46809.0	16844.0	0.44	0.0	1.07	0.0	1.72	2388234.0	3.95	1751.0	0.0	0.24	1.42	0.03	144923	857458	18115
NRP1-HS578T-shNRP1.5-RNA.3	91389675.0	257.0	83023315.0	90.85	254.32	92235326.0	92234995.0	91485544.0	645791.0	76490.0	27501.0	0.46	0.0	1.1	0.0	1.71	3233081.0	3.54	2720.0	0.0	0.2	5.38	0.03	182908	4920215	27436
NRP1-HS578T-shNT-RNA.1	72010016.0	252.0	66542877.0	92.41	250.31	75963754.0	75963517.0	75356535.0	530708.0	52333.0	24178.0	0.43	0.0	1.09	0.0	1.74	3390299.0	4.71	2095.0	0.0	0.22	2.63	0.03	158487	1894646	21612
NRP1-HS578T-shNT-RNA.2	40899816.0	248.0	37931614.0	92.74	245.76	43179687.0	43179535.0	42826856.0	310926.0	32658.0	9247.0	0.66	0.0	1.09	0.0	1.72	1759344.0	4.3	1185.0	0.0	0.34	2.58	0.03	139189	1056202	12281
NRP1-HS578T-shNT-RNA.3	51477378.0	245.0	47914641.0	93.08	243.52	52604561.0	52604362.0	52199168.0	351461.0	40206.0	13726.0	0.65	0.0	1.08	0.0	1.71	2284575.0	4.44	1660.0	0.0	0.42	2.03	0.03	216182	1044879	15442
NRP1-HS578T-siNRP1.3-RNA.1	31978609.0	249.0	29697822.0	92.87	247.42	34424367.0	34424246.0	34181815.0	207838.0	25200.0	9514.0	0.73	0.0	1.06	0.0	1.75	1605900.0	5.02	798.0	0.0	0.47	1.59	0.05	150153	507963	15974
NRP1-HS578T-siNRP1.3-RNA.2	52761304.0	249.0	49495048.0	93.81	248.35	55480526.0	55480354.0	55064214.0	357857.0	41123.0	17332.0	0.39	0.0	1.06	0.0	1.74	2469679.0	4.68	1171.0	0.0	0.22	1.26	0.03	115887	663716	15803
NRP1-HS578T-siNRP1.3-RNA.3	42078960.0	241.0	39341130.0	93.49	239.52	43714138.0	43714011.0	43394850.0	278603.0	31522.0	9163.0	0.47	0.0	1.04	0.0	1.82	2022243.0	4.81	931.0	0.0	0.3	1.36	0.04	126116	571725	16815
NRP1-HS578T-siNRP1.5-RNA.1	41185823.0	253.0	37672819.0	91.47	251.93	41961751.0	41961625.0	41660646.0	258322.0	29185.0	13598.0	0.6	0.0	1.07	0.0	1.73	2400040.0	5.83	700.0	0.0	0.51	2.15	0.04	210094	885692	16478
NRP1-HS578T-siNRP1.5-RNA.2	53253969.0	251.0	49153162.0	92.3	249.82	53436315.0	53436116.0	53011465.0	366626.0	39747.0	18477.0	0.4	0.0	1.07	0.0	1.76	3002160.0	5.64	1140.0	0.0	0.24	1.79	0.03	127865	953659	15983
NRP1-HS578T-siNRP1.5-RNA.3	66847388.0	251.0	60642054.0	90.72	249.15	66570716.0	66570477.0	66075569.0	434114.0	46143.0	14890.0	0.37	0.0	1.06	0.0	1.72	3167285.0	4.74	1124.0	0.0	0.21	4.31	0.03	140166	2876736	20024
NRP1-HS578T-siNT-RNA.1	37282587.0	254.0	34293346.0	91.98	252.74	38738540.0	38738400.0	38455895.0	239834.0	25538.0	17273.0	0.42	0.0	1.07	0.0	1.76	1777526.0	4.77	710.0	0.0	0.24	2.97	0.04	89428	1106672	14905
NRP1-HS578T-siNT-RNA.2	52200851.0	253.0	48451603.0	92.82	251.74	54098858.0	54098637.0	53717342.0	331139.0	36755.0	13622.0	0.53	0.0	1.06	0.0	1.74	2381354.0	4.56	891.0	0.0	0.31	2.28	0.03	161745	1189606	15653
NRP1-HS578T-siNT-RNA.3	51165000.0	256.0	47229521.0	92.31	254.54	53057266.0	53057006.0	52668609.0	332582.0	36639.0	19436.0	0.43	0.0	1.09	0.0	1.78	2307102.0	4.51	890.0	0.0	0.23	2.92	0.03	117711	1494422	15354
NRP1-MDA.MB.231-shNRP1.3-RNA.1	33334415.0	251.0	30975635.0	92.92	249.08	31035946.0	31035670.0	30766484.0	226930.0	33942.0	8590.0	0.82	0.0	1.06	0.0	1.62	1471272.0	4.41	1263.0	0.0	0.65	1.98	0.02	217381	662176	6689
NRP1-MDA.MB.231-shNRP1.3-RNA.2	70152877.0	255.0	66338106.0	94.56	253.8	64571285.0	64570868.0	63991067.0	493596.0	68230.0	18392.0	0.42	0.0	1.09	0.0	1.65	2695413.0	3.84	2595.0	0.0	0.27	1.3	0.02	189639	913077	14047
NRP1-MDA.MB.231-shNRP1.3-RNA.3	60165913.0	252.0	56269914.0	93.52	250.57	54846710.0	54846421.0	54355541.0	418426.0	56550.0	16193.0	0.41	0.0	1.08	0.0	1.71	2875031.0	4.78	1985.0	0.0	0.26	1.41	0.02	156767	850157	12059
NRP1-MDA.MB.231-shNRP1.5-RNA.1	85923053.0	253.0	81010216.0	94.28	252.48	81328943.0	81328518.0	80611386.0	609742.0	85641.0	22174.0	0.4	0.0	1.1	0.0	1.71	3470302.0	4.04	2759.0	0.0	0.23	1.43	0.02	197112	1225524	17140
NRP1-MDA.MB.231-shNRP1.5-RNA.2	57526991.0	250.0	53715984.0	93.38	248.6	55152352.0	55152072.0	54658220.0	421245.0	58608.0	14279.0	0.65	0.0	1.07	0.0	1.65	2495870.0	4.34	1945.0	0.0	0.44	1.82	0.02	253423	1048250	11519
NRP1-MDA.MB.231-shNRP1.5-RNA.3	69735476.0	252.0	65824252.0	94.39	250.83	66657279.0	66657029.0	66074534.0	492872.0	72081.0	17792.0	0.39	0.0	1.09	0.0	1.7	2762915.0	3.96	2028.0	0.0	0.22	1.41	0.02	152837	979549	13894
NRP1-MDA.MB.231-shNT-RNA.1	65031794.0	254.0	61325939.0	94.3	253.26	60585699.0	60585260.0	60045175.0	456519.0	64272.0	19733.0	0.39	0.0	1.08	0.0	1.65	2594576.0	3.99	2113.0	0.0	0.3	1.39	0.02	194591	901603	12973
NRP1-MDA.MB.231-shNT-RNA.2	67646620.0	247.0	62869061.0	92.94	245.34	60223057.0	60222606.0	59657800.0	472144.0	66153.0	26960.0	0.46	0.0	1.08	0.0	1.65	3098916.0	4.58	2479.0	0.0	0.31	2.15	0.02	209520	1453126	13517
NRP1-MDA.MB.231-shNT-RNA.3	79006716.0	251.0	74226820.0	93.95	249.75	73612750.0	73612482.0	72933067.0	576682.0	76976.0	26025.0	0.42	0.0	1.08	0.0	1.65	3556994.0	4.5	2539.0	0.0	0.29	1.23	0.02	229809	974706	15849
NRP1-MDA.MB.231-siNRP1.3-RNA.1	56547723.0	253.0	52255400.0	92.41	251.68	55665005.0	55664575.0	55159078.0	431746.0	58413.0	15768.0	0.58	0.0	1.08	0.0	1.69	3258246.0	5.76	1250.0	0.0	0.42	1.39	0.02	237042	784497	11288
NRP1-MDA.MB.231-siNRP1.3-RNA.2	58681022.0	251.0	54562249.0	92.98	249.69	57341975.0	57341726.0	56826265.0	438999.0	60674.0	16037.0	0.35	0.0	1.09	0.0	1.69	3182569.0	5.42	1320.0	0.0	0.26	1.31	0.02	152874	770250	11760
NRP1-MDA.MB.231-siNRP1.3-RNA.3	40107724.0	246.0	37298090.0	92.99	244.19	38769951.0	38769803.0	38417866.0	300905.0	40080.0	11100.0	0.69	0.0	1.07	0.0	1.66	1932235.0	4.82	1042.0	0.0	0.51	1.64	0.03	205019	659278	12060
NRP1-MDA.MB.231-siNRP1.5-RNA.1	55259245.0	255.0	50416097.0	91.24	254.09	52295160.0	52294769.0	51824410.0	401093.0	55100.0	14557.0	0.43	0.0	1.08	0.0	1.67	4011047.0	7.26	1558.0	0.0	0.25	1.23	0.02	138424	681045	11074
NRP1-MDA.MB.231-siNRP1.5-RNA.2	49810576.0	249.0	46284240.0	92.92	248.05	49368991.0	49368826.0	48922014.0	383891.0	49895.0	13191.0	0.58	0.0	1.08	0.0	1.67	2678624.0	5.38	876.0	0.0	0.35	1.32	0.03	174349	657543	14944
NRP1-MDA.MB.231-siNRP1.5-RNA.3	53317759.0	251.0	49666667.0	93.15	249.97	50805745.0	50805505.0	50348687.0	388633.0	51596.0	16829.0	0.41	0.0	1.09	0.0	1.72	2694441.0	5.05	940.0	0.0	0.32	1.46	0.02	169904	775188	10619
NRP1-MDA.MB.231-siNT-RNA.1	45177792.0	256.0	42283679.0	93.59	254.97	43509184.0	43508951.0	43112172.0	342318.0	42071.0	12623.0	0.47	0.0	1.09	0.0	1.68	2165520.0	4.79	1431.0	0.0	0.3	1.29	0.03	134660	579036	13466
NRP1-MDA.MB.231-siNT-RNA.2	60434765.0	251.0	56952319.0	94.24	249.93	56927304.0	56926742.0	56431589.0	424761.0	54094.0	16860.0	0.49	0.0	1.07	0.0	1.68	2436394.0	4.03	1510.0	0.0	0.35	1.35	0.02	212552	819844	12146
NRP1-MDA.MB.231-siNT-RNA.3	58153098.0	256.0	54529243.0	93.77	254.86	53176795.0	53176485.0	52707688.0	399665.0	51738.0	17704.0	0.41	0.0	1.08	0.0	1.69	2696820.0	4.64	1624.0	0.0	0.32	1.25	0.02	186246	727524	11640
NRP1-SUM159-shNRP1.3-RNA.1	73715046.0	246.0	69150721.0	93.81	245.64	65770860.0	65770540.0	65169116.0	518695.0	60952.0	22097.0	0.37	0.0	1.07	0.0	1.71	3514993.0	4.77	2873.0	0.0	0.26	1.14	0.02	191605	840115	14739
NRP1-SUM159-shNRP1.3-RNA.2	43379193.0	242.0	40594529.0	93.58	240.53	40792802.0	40792563.0	40449947.0	293649.0	34835.0	14371.0	0.66	0.0	1.05	0.0	1.73	1963407.0	4.53	1314.0	0.0	0.52	1.35	0.02	225593	585674	8677
NRP1-SUM159-shNRP1.3-RNA.3	43233532.0	243.0	40485025.0	93.64	241.65	40404037.0	40403918.0	40065854.0	287155.0	38094.0	12934.0	0.59	0.0	1.05	0.0	1.72	2014465.0	4.66	1520.0	0.0	0.42	1.25	0.02	182047	541806	8669
NRP1-SUM159-shNRP1.5-RNA.1	51551145.0	242.0	48487983.0	94.06	240.53	47621968.0	47621815.0	47219097.0	346172.0	40813.0	15886.0	0.49	0.0	1.06	0.0	1.71	2264937.0	4.39	1872.0	0.0	0.29	1.23	0.02	149963	636048	10342
NRP1-SUM159-shNRP1.5-RNA.2	61833582.0	241.0	58397202.0	94.44	240.34	54415786.0	54415632.0	53945090.0	405320.0	48500.0	16876.0	0.37	0.0	1.06	0.0	1.74	2648163.0	4.28	2313.0	0.0	0.22	1.04	0.02	135077	638547	12280
NRP1-SUM159-shNRP1.5-RNA.3	52516541.0	247.0	49621315.0	94.49	246.58	51408315.0	51408053.0	50969995.0	376034.0	47684.0	14602.0	0.37	0.0	1.07	0.0	1.75	2177033.0	4.15	1417.0	0.0	0.21	1.14	0.02	109871	596441	10464
NRP1-SUM159-shNT-RNA.1	58910314.0	254.0	55524667.0	94.25	252.53	60386489.0	60386309.0	59843742.0	468714.0	53610.0	20423.0	0.5	0.0	1.07	0.0	1.75	2503230.0	4.25	1564.0	0.0	0.29	1.18	0.03	170298	692938	17617
NRP1-SUM159-shNT-RNA.2	58412340.0	254.0	54301374.0	92.96	253.47	57050749.0	57050542.0	56544988.0	435634.0	49051.0	21076.0	0.4	0.0	1.08	0.0	1.75	3165815.0	5.42	1887.0	0.0	0.27	1.32	0.02	158187	773359	11718
NRP1-SUM159-shNT-RNA.3	74734413.0	258.0	70393508.0	94.19	257.6	76439956.0	76439691.0	75804485.0	541964.0	68941.0	24566.0	0.39	0.0	1.09	0.0	1.73	3107975.0	4.16	2170.0	0.0	0.25	1.38	0.02	186479	1029363	14918
NRP1-SUM159-siNRP1.3-RNA.1	48949283.0	250.0	45376176.0	92.7	249.69	48680679.0	48680575.0	48239142.0	382496.0	41457.0	17584.0	0.34	0.0	1.06	0.0	1.73	2993409.0	6.12	990.0	0.0	0.26	0.89	0.03	127512	436483	14713
NRP1-SUM159-siNRP1.3-RNA.2	56506034.0	253.0	50534072.0	89.43	250.6	52470550.0	52470399.0	52028427.0	379141.0	41641.0	21341.0	0.51	0.0	1.05	0.0	1.77	3499158.0	6.19	970.0	0.0	0.44	3.9	0.04	248312	2200948	22574
NRP1-SUM159-siNRP1.3-RNA.3	58250761.0	244.0	53356790.0	91.6	242.11	53592885.0	53592532.0	53124563.0	404178.0	49481.0	14663.0	0.54	0.0	1.05	0.0	1.72	2735607.0	4.7	1423.0	0.0	0.39	3.28	0.04	226740	1906945	23255
NRP1-SUM159-siNRP1.5-RNA.2	53027603.0	241.0	48302664.0	91.09	240.13	53354404.0	53354226.0	52896940.0	398564.0	44217.0	14683.0	0.61	0.0	1.04	0.0	1.75	3655675.0	6.89	1157.0	0.0	0.5	1.49	0.03	264383	787861	15863
NRP1-SUM159-siNRP1.5-RNA.3	72127816.0	255.0	67407253.0	93.46	254.47	70671194.0	70670707.0	70066064.0	513766.0	67601.0	23763.0	0.4	0.0	1.07	0.0	1.75	3417225.0	4.74	1161.0	0.0	0.26	1.53	0.01	188092	1106850	7234
NRP1-SUM159-siNT-RNA.1	58213490.0	252.0	52145949.0	89.58	249.56	54352847.0	54352662.0	53878206.0	410650.0	43259.0	20732.0	0.4	0.0	1.06	0.0	1.72	3060296.0	5.26	1077.0	0.0	0.34	4.79	0.03	198081	2790609	17478
